Training_Hours_per_Week,Average_Heart_Rate,BMI,Sleep_Hours_per_Night,Daily_Caloric_Intake,Hydration_Level,Previous_Competition_Performance,Resting_Heart_Rate,Body_Fat_Percentage,VO2_Max,Event_Distance,Mental_Focus_Level,Performance_Metric,Injury_History_Minor,Injury_History_Major,Sport_Type_Swimming,Sport_Type_Cycling,Sport_Type_Soccer,Sport_Type_Basketball,Sport_Type_Tennis,Training_Intensity_Medium,Training_Intensity_High,Altitude_Training_Medium,Altitude_Training_High
0.1706201771934838,0.8765843895930621,0.0849999999999999,0.4166666666666666,0.0146064268278042,0.294,0.7069655724579663,0.2033333333333333,1.0,0.048,0.1360734544366593,0.7888888888888888,0.9814272736448976,0,1,1,0,0,0,0,0,1,1,0
0.2963703915404401,0.9172781854569714,0.845,0.2666666666666666,0.7744207451278564,0.8280000000000001,0.3250600480384307,0.0983333333333333,0.8520000000000001,0.0959999999999999,0.4784241743046936,0.1888888888888888,0.932471989502372,1,0,1,0,0,0,0,0,1,1,0
0.2300657330665904,0.467645096731154,0.065,0.6333333333333332,0.5586858217615751,0.504,0.2063650920736589,0.495,0.46,0.022,0.1619834476847378,0.8999999999999999,0.7915785232195024,1,0,0,0,0,0,0,0,0,0,1
0.6221777650757359,0.4823215476984656,0.7150000000000001,0.8333333333333334,0.9463764056184722,0.47,0.6519215372297837,0.7383333333333334,0.508,0.826,0.0176702232177151,0.7,0.1772964300040112,1,0,0,0,1,0,0,1,0,0,1
0.7779365533009429,0.543695797198132,0.6699999999999999,0.1666666666666666,0.2566729360918803,0.06,0.9977982385908728,0.1033333333333333,0.0919999999999999,0.6140000000000002,0.3316022269211642,0.8888888888888888,0.8344917900674927,1,0,0,0,0,0,0,1,0,0,0
0.7056301800514432,0.7858572381587725,0.415,0.2999999999999999,0.3686822201768778,0.082,0.6338070456365092,0.175,0.764,0.19,0.2277742513251151,0.9555555555555556,0.1047167909695625,1,0,0,0,0,0,1,0,1,0,0
0.1083166619034009,0.7498332221480988,0.3050000000000001,0.9499999999999998,0.7145143863299854,0.326,0.2892313851080864,0.5233333333333335,0.08,0.118,0.1754751614194398,0.7777777777777777,0.514340152426795,0,1,0,0,1,0,0,1,0,0,1
0.5618748213775364,0.5483655770513676,0.4199999999999999,0.1333333333333333,0.9290887990715916,0.4280000000000001,0.1231985588470776,0.0366666666666667,0.152,0.298,0.6300088543161759,0.9666666666666666,0.2727272727272727,1,0,0,0,0,0,1,0,0,0,0
0.0108602457845098,0.0166777851901267,0.51,0.6666666666666666,0.3528352475089039,0.6059999999999999,0.8460768614891914,0.795,0.8840000000000001,0.16,0.2242850847224637,0.5888888888888888,0.7239927841250753,1,0,0,0,0,1,0,0,1,1,0
0.4358388110888825,0.8605737158105404,0.4300000000000001,0.1166666666666667,0.105806554884149,0.002,0.2895316253002402,0.4316666666666667,0.0239999999999999,0.454,0.1293397267695492,0.5444444444444445,0.6168026594137201,0,1,0,0,0,0,0,1,0,0,1
0.2686481851957701,0.3228819212808539,0.3050000000000001,0.8333333333333334,0.7747408859898357,0.064,0.4945956765412329,0.6416666666666667,0.016,0.5940000000000002,0.9415109749046848,0.0444444444444444,0.171205446535843,0,1,0,1,0,0,0,0,1,0,1
0.4198342383538153,0.3842561707805202,0.8500000000000001,0.7666666666666665,0.5890992036496059,0.274,0.9382506004803842,0.6533333333333334,0.9720000000000002,0.58,0.8212337822485111,0.8111111111111111,0.3366576004835297,1,0,0,0,0,0,0,0,1,0,0
0.5238639611317518,0.1254169446297531,0.635,0.7166666666666667,0.0001600704309896,0.084,0.5416333066453163,0.8383333333333333,0.532,0.434,0.9369059218798644,0.0777777777777777,0.1375852386682711,0,1,0,0,1,0,0,1,0,0,0
0.6870534438410973,0.1107404936624416,0.05,0.1666666666666666,0.2702789227259994,0.6159999999999999,0.0798638911128903,0.1833333333333333,0.2,0.67,0.3459005324718906,0.2777777777777777,0.0281789009225832,1,0,0,0,1,0,0,1,0,0,0
0.2477850814518433,0.2801867911941294,0.8899999999999999,0.9,0.814718476129497,0.994,0.1098879103282626,0.5366666666666667,0.464,0.602,0.610218042589665,0.6333333333333333,0.3098676293622142,0,1,0,0,1,0,0,0,1,0,1
0.7476421834809945,0.086724482988659,0.25,0.65,0.759214054183841,0.274,0.4060248198558847,0.3516666666666667,0.0039999999999999,0.576,0.6690547714252215,0.2777777777777777,0.6897350659816662,0,1,0,0,0,0,0,1,0,1,0
0.1077450700200056,0.0613742494996664,0.995,0.4,0.5018208011525072,0.036,0.1598278622898318,0.5983333333333335,0.3999999999999999,0.612,0.3097959464212795,0.4888888888888889,0.9112046502305072,1,0,0,0,0,1,0,1,0,0,1
0.367819376964847,0.0547031354236157,0.0550000000000001,0.8666666666666666,0.0635079434951378,0.7919999999999998,0.9071257005604484,0.935,0.8640000000000001,0.956,0.0513287538863979,1.0,0.0204245094112935,0,1,0,1,0,0,0,0,1,1,0
0.2429265504429837,0.4889926617745163,0.865,0.2999999999999999,0.973068149985994,0.4980000000000002,0.1738390712570056,0.6666666666666666,0.8680000000000001,0.4780000000000001,0.8910656311025039,0.7777777777777777,0.1136867567022777,0,1,0,0,0,0,1,0,0,1,0
0.9362675050014287,0.5430286857905271,0.09,0.6999999999999998,0.8459722277802235,0.4459999999999999,0.2386909527622097,0.8033333333333333,0.544,0.198,0.9496658405333614,0.9444444444444444,0.3667104067830827,0,1,1,0,0,0,0,0,1,0,1
0.3943983995427264,0.0727151434289526,0.895,0.4333333333333332,0.9640241706350796,0.2219999999999999,0.055244195356285,0.03,0.6159999999999999,0.8380000000000002,0.6396151809070216,0.8222222222222222,0.5188250731805795,0,1,1,0,0,0,0,1,0,1,0
0.2746498999714203,0.1374249499666444,0.03,0.8000000000000002,0.196926647724999,0.3640000000000001,0.7690152121697358,0.45,0.216,0.194,0.4077048722997369,0.5666666666666667,0.3927713255907089,0,1,0,1,0,0,0,0,1,0,0
0.7193483852529293,0.7838559039359574,0.81,0.4333333333333332,0.1693144983792869,0.796,0.644515612489992,0.2583333333333333,0.392,0.298,0.9148954665092568,0.7999999999999998,0.8879258214069744,0,1,0,0,0,0,1,0,0,0,1
0.5735924549871391,0.3008672448298865,0.3699999999999999,0.0833333333333333,0.3228220416983473,0.966,0.4860888710968774,0.475,0.6279999999999999,0.4840000000000001,0.355244059724182,0.1444444444444444,0.631812229273698,1,0,0,0,0,0,0,0,0,0,1
0.0534438410974563,0.1801200800533689,0.385,0.2333333333333334,0.2203769658649805,0.246,0.8851080864691753,0.0833333333333333,0.324,0.3940000000000001,0.2803260329024772,0.3777777777777778,0.6291842052515534,1,0,0,0,0,1,0,0,0,1,0
0.4081166047442125,0.6044029352901934,0.6950000000000001,0.9833333333333332,0.1126495658089559,0.1240000000000001,0.5231184947958366,0.0549999999999999,0.728,0.99,0.8114717975879064,0.2666666666666666,0.8008423586040915,0,1,0,0,1,0,0,1,0,1,0
