Training_Hours_per_Week,Average_Heart_Rate,BMI,Sleep_Hours_per_Night,Daily_Caloric_Intake,Hydration_Level,Previous_Competition_Performance,Resting_Heart_Rate,Body_Fat_Percentage,VO2_Max,Event_Distance,Mental_Focus_Level,Performance_Metric,Injury_History_Minor,Injury_History_Major,Training_Intensity_Medium,Training_Intensity_High,Altitude_Training_Medium,Altitude_Training_High
0.9925544100801833,0.4099797707349966,0.3699999999999999,0.7833333333333331,0.34090179717586644,0.9299999999999999,0.8595190380761523,0.4280936454849499,0.752,0.7550200803212851,0.10132705878538047,0.8999999999999999,50.53,1,0,1,0,0,1
0.33562428407789235,0.8044504383007417,0.0050000000000000044,0.33333333333333337,0.3984274711168164,0.5380000000000003,0.9211422845691382,0.34615384615384615,0.3479999999999999,0.7389558232931727,0.4515384397128624,0.2222222222222222,45.24,0,1,1,0,1,0
0.4152348224513173,0.078894133513149,0.9950000000000001,0.4999999999999999,0.596237163029525,0.06800000000000006,0.7509018036072144,0.20903010033444813,0.9000000000000001,0.20481927710843362,0.18917073012553148,0.033333333333333326,47.21,0,1,0,1,1,0
0.2674684994272623,0.8813216453135536,0.7949999999999999,0.6666666666666666,0.8521742618741975,0.8680000000000001,0.7092184368737474,0.8377926421404681,0.696,0.680722891566265,0.6184645192147897,0.7555555555555555,15.86,0,1,0,0,0,1
0.43298969072164945,0.9467296021577881,0.41999999999999993,0.6333333333333332,0.39786585365853655,0.274,0.9853707414829659,0.40969899665551834,0.8959999999999999,0.22891566265060237,0.21166060694496797,0.033333333333333326,65.17,0,1,0,0,0,1
0.36912943871706755,0.8671611598111933,0.4750000000000001,0.9666666666666667,0.185173299101412,0.8680000000000001,0.7775551102204408,0.7725752508361202,0.8440000000000001,0.7630522088353412,0.6260969312272253,0.13333333333333336,3.25,0,1,0,1,0,1
0.18528064146620848,0.16857720836142942,0.10000000000000009,0.6666666666666666,0.7656851732991014,0.266,0.02034068136272545,0.08026755852842804,0.968,0.29518072289156616,0.7695562824519376,0.6222222222222222,38.19,1,0,0,0,0,0
0.6016609392898051,0.7444369521240727,0.5050000000000001,0.6333333333333332,0.07024229781771496,0.254,0.3620240480961924,0.47157190635451485,0.043999999999999984,0.13855421686746983,0.2755734442323204,0.9666666666666666,33.13,1,0,1,0,1,0
0.4707903780068728,0.8927848954821308,0.71,0.06666666666666676,0.14686296534017962,0.008000000000000007,0.631563126252505,0.4481605351170569,0.136,0.9598393574297189,0.529228530547888,0.24444444444444446,50.06,1,0,0,1,0,0
0.0372279495990836,0.12204989885367495,0.7650000000000001,0.0,0.4168806161745827,0.522,0.05410821643286573,0.9749163879598662,0.22799999999999998,0.3032128514056225,0.3027894986441626,0.23333333333333334,0.15,0,1,1,0,0,0
0.011168384879725102,0.7046527309507754,0.97,0.43333333333333324,0.2347560975609756,0.7040000000000002,0.81813627254509,0.5468227424749162,0.968,0.050200803212851364,0.5042843651073523,0.7222222222222221,86.26,1,0,0,0,0,0
0.29266895761741124,0.4416722859069453,0.020000000000000018,0.29999999999999993,0.5032092426187419,0.05600000000000005,0.49148296593186375,0.9280936454849497,0.10399999999999998,0.7650602409638555,0.40885489499860156,0.6555555555555557,26.02,0,1,1,0,0,0
0.3038373424971363,0.9359406608226567,0.12,0.9333333333333332,0.6849727214377405,0.532,0.03216432865731463,0.47491638795986624,0.408,0.1606425702811245,0.6563833797439108,0.9666666666666666,56.22,1,0,0,1,0,1
0.5876288659793814,0.8307484828051247,0.08000000000000007,0.4833333333333333,0.631017329910141,0.8280000000000001,0.7844689378757513,0.2759197324414716,0.9400000000000002,0.1224899598393574,0.8758061051189447,0.9666666666666666,17.72,0,1,1,0,0,0
0.07101947308132875,0.5731625084288603,0.5650000000000002,0.8833333333333334,0.5586087933247753,0.96,0.04819639278557114,0.09698996655518388,0.043999999999999984,0.18473895582329303,0.5408757615185379,0.6444444444444444,4.56,1,0,1,0,1,0
0.8694158075601375,0.708024275118004,0.1050000000000001,0.7833333333333331,0.8094111039794608,0.7680000000000002,0.11362725450901803,0.6438127090301001,0.8360000000000001,0.5783132530120482,0.6463493723425383,0.45555555555555544,52.87,0,1,1,0,1,0
0.4518900343642612,0.7194875252865812,0.585,0.4999999999999999,0.19199293966623865,0.4640000000000002,0.24569138276553104,0.9163879598662207,0.336,0.9538152610441765,0.5326333240106845,0.6333333333333333,54.29,1,0,1,0,1,0
0.8542382588774342,0.19285232636547534,0.875,0.35,0.7238847881899869,0.32000000000000006,0.9071142284569138,0.12541806020066892,0.18,0.49397590361445787,0.08007547292175866,0.19999999999999996,94.38,1,0,1,0,1,0
0.40320733104238254,0.923128792987188,0.6500000000000001,0.08333333333333337,0.9496951219512194,0.258,0.3372745490981964,0.4013377926421403,0.05199999999999999,0.4959839357429717,0.1215876065517954,0.39999999999999997,35.07,0,1,0,1,1,0
0.5632875143184422,0.5515846257585975,0.1150000000000001,0.1333333333333333,0.5301668806161747,0.268,0.020440881763527055,0.7240802675585284,0.03199999999999997,0.5963855421686745,0.5387923521853505,0.9666666666666666,48.42,0,1,0,0,1,0
0.30211912943871705,0.38098449089683073,0.8550000000000002,0.7499999999999999,0.27222400513478817,0.1180000000000001,0.25190380761523046,0.9214046822742475,0.5800000000000001,0.5341365461847388,0.5961752820101252,0.36666666666666664,80.71,0,1,0,0,1,0
0.41265750286368846,0.13283884018880643,0.665,0.5166666666666665,0.6403241335044928,0.3380000000000001,0.9081162324649298,0.5869565217391305,0.08399999999999996,0.4497991967871485,0.7566484672349428,0.7888888888888888,49.46,0,1,1,0,1,0
0.07388316151202748,0.9966284558327715,0.4099999999999999,0.2833333333333333,0.5586087933247753,0.30400000000000005,0.08607214428857715,0.0,0.448,0.8373493975903613,0.572019488389249,1.0,28.68,0,1,0,1,0,0
0.3347651775486827,0.018880647336480094,0.3400000000000001,0.8000000000000002,0.8989890885750961,0.5180000000000002,0.45581162324649294,0.02842809364548482,0.8800000000000001,0.012048192771084265,0.9456449043617836,0.4888888888888889,34.19,0,1,1,0,0,1
0.7918098510882015,0.29197572488199597,0.4950000000000001,0.41666666666666663,0.41082317073170727,0.23199999999999998,0.13607214428857714,0.19565217391304335,0.055999999999999994,0.1967871485943774,0.007103453028036855,0.6222222222222222,31.64,0,1,0,1,1,0
0.670675830469645,0.8334457181389076,0.15000000000000002,0.033333333333333326,0.8805359435173298,0.31400000000000006,0.1286573146292585,0.4682274247491637,0.6000000000000001,0.028112449799196693,0.27364811459561994,0.033333333333333326,42.03,0,1,0,1,0,0
0.6947308132875143,0.03304113283884019,0.8400000000000001,0.45000000000000007,0.6376363928112964,0.22199999999999998,0.6778557114228456,0.7725752508361202,0.47200000000000003,0.6184738955823291,0.45565864513540133,0.8888888888888888,49.79,1,0,0,1,1,0
0.1812714776632302,0.8118678354686445,0.135,0.4666666666666667,0.9403883183568676,0.18599999999999994,0.9793587174348697,0.9966555183946487,0.556,0.1686746987951806,0.3149900085525169,0.4222222222222222,30.93,0,1,1,0,0,1
0.9017754868270333,0.4457181389076197,0.27500000000000013,0.4,0.387997432605905,0.28600000000000003,0.2685370741482966,0.862876254180602,0.068,0.6787148594377509,0.1712469245392382,0.3444444444444444,6.15,0,1,0,0,0,1
0.12628865979381443,0.9777478084962913,0.2300000000000001,0.7666666666666665,0.3390564826700898,0.14400000000000013,0.8590180360721443,0.3076923076923076,0.6599999999999999,0.5662650602409637,0.4711382954144728,0.49999999999999994,73.22,0,1,1,0,0,1
0.32961053837342497,0.38840188806473364,0.26,0.35,0.4110237483953786,0.72,0.5119238476953907,0.9448160535117055,0.03999999999999998,0.504016064257028,0.5839666654506689,0.9222222222222223,4.92,0,1,0,0,0,1
0.3038373424971363,0.8664868509777478,0.7800000000000002,0.9333333333333332,0.24558729139922975,0.5760000000000001,0.2744488977955912,0.8244147157190637,0.003999999999999976,0.5642570281124498,0.3381628707272882,0.3222222222222222,64.49,1,0,1,0,0,0
0.9126575028636885,0.8489548213081591,0.125,0.09999999999999998,0.5900994865211809,0.532,0.26633266533066136,0.9013377926421403,0.9279999999999999,0.40160642570281124,0.8910243158999801,0.3888888888888889,73.68,1,0,0,0,0,0
0.47021764032073304,0.7208361429534725,0.5300000000000002,0.4,0.32236842105263164,0.6100000000000001,0.940380761523046,0.6722408026755852,0.07600000000000001,0.4598393574297187,0.8915471948960524,0.09999999999999998,98.89,1,0,0,0,1,0
0.666093928980527,0.2818610923803102,0.20000000000000007,0.9333333333333332,0.017690949935815103,0.43800000000000017,0.021042084168336674,0.48327759197324405,0.5,0.321285140562249,0.13045830952004572,0.3777777777777778,67.23,1,0,1,0,0,0
0.47136311569301254,0.04113283884018881,0.8800000000000001,0.45000000000000007,0.5897785622593067,0.14000000000000012,0.0028056112224448897,0.2441471571906355,0.704,0.09839357429718865,0.9096675867715667,0.21111111111111108,20.46,1,0,1,0,1,0
0.08075601374570446,0.38435603506405924,0.6000000000000001,0.5166666666666665,0.6956835686777919,0.05600000000000005,0.2844689378757515,0.8210702341137123,0.08000000000000002,0.8574297188755019,0.09006489374207068,0.8333333333333333,36.08,1,0,0,1,1,0
0.25486827033218784,0.9271746459878624,0.7750000000000001,0.5666666666666668,0.6967666880616173,0.9240000000000002,0.7132264529058115,0.36789297658862885,0.712,0.03815261044176699,0.38552597979011877,0.41111111111111115,16.68,0,1,0,1,0,1
0.06500572737686142,0.04315576534052595,0.1150000000000001,0.06666666666666676,0.7618741976893452,0.486,0.3429859719438878,0.41806020066889615,0.9279999999999999,0.9116465863453814,0.7158395855879957,0.8888888888888888,31.96,0,1,0,1,1,0
